appartement;studio;maison;chambre;nb_photo;prix;nb_pieces;nb_chambres;surface;distance_station_0;distance_station_1;distance_station_2;Cathédrale Notre-Dame de Paris;Basilique du Sacré-Cœur de Montmartre;Musée du Louvre;Tour Eiffel;Centre Pompidou;Musée d’Orsay;Cité des sciences et de l’industrie;Chapelle Notre-Dame de la Médaille miraculeuse;Grand site du Jardin des plantes;Arc de triomphe;Grand Palais;distance_université_plus_près;arrondissement
1;0;0;0;6;700000;5;3;92;140.934974884038;424.828246905095;454.936039753538;4860.76957722595;5205.34930727254;5405.35259382399;8596.42481357602;4393.82914547214;6253.63551377571;3156.84533412381;6787.9307625499;5040.56019986123;8433.69644635631;7195.88161652181;5055.29351668437;1
1;0;0;0;6;470000;3;2;44;183.455511155592;503.802726698148;517.466896270678;3435.66019450759;5246.54670437062;4343.67701379539;7493.85163467913;3288.7428204823;5160.37544476067;4513.48377998295;5432.53232065096;3379.1599761719;7717.03498328999;6299.75647502261;3047.03060787773;1
1;0;0;0;12;985000;3;2;83;269.753236888445;373.402545991381;373.402545991381;5245.46088433942;4043.60378932145;4031.24907137428;2240.95787344878;5014.2789824389;3393.99620366141;7479.15449252284;3904.34741401887;5825.62179758099;635.189349563755;2136.54909368837;1370.57931155155;1
1;0;0;0;12;650000;2;1;56;167.039345514893;315.259100546222;358.363816282928;3554.791338267;419.198039781171;2742.8381838698;4911.18988811636;2726.6499557039;3191.66209755712;3168.09032232266;4211.47658244597;4292.92484554344;4067.49613041495;3346.51431489619;3782.0489250218;1
1;0;0;0;6;525000;2;1;43;424.802906404866;410.238272945068;474.281000089118;3347.57477801426;7000.14668664064;4585.20104315843;6740.43716627988;4022.85387323759;5006.68774092817;7704.44210183323;4543.71912362765;2628.16583738854;7739.4245506448;6240.60651304031;645.88222303621;1
1;0;0;0;13;790000;2;1;44;250.507896880783;429.554211146446;499.9152977394;3856.17070871612;759.068461556513;2763.98781928398;4148.2733885813;3148.7398006675;2909.47728648286;4191.4098522131;3950.38650407235;4609.24045918641;3066.52584920435;2647.94857129642;3873.32518751;1
1;0;0;0;11;910000;2;1;56;250.87535284497;579.701275341788;374.484727628286;4731.7145932334;4339.09217013392;3612.11470251702;1247.66351078742;4657.18306075156;2853.33958925292;7747.26020306555;3142.31712900228;5227.94041854802;628.870595510988;1645.01247402972;735.834198574695;1
0;1;0;0;10;519000;1;1;37;24.2521047740631;552.389684135236;463.38799726897;4678.64247732444;4483.82329478975;3594.92556098614;1027.71008281952;4648.60302478119;2809.51138990321;7874.42114223016;3020.0878723812;5147.42427099913;854.205421639298;1649.04647573204;495.182140185622;1
1;0;0;0;7;850000;3;2;59;155.1324520063;253.810632319161;336.362260409983;1951.06933307025;1846.76979012021;1195.41337330553;4032.58706396154;1175.4717081757;1859.7720198845;4153.17807084795;2770.94128953136;2700.43937670134;3779.90531519935;2546.01024961235;2168.02333299421;0
1;0;0;0;12;1475400;4;3;91;242.389784053675;490.410519800108;590.741161161066;3786.52020429954;4308.93972565928;2812.84609178921;460.492139852343;3870.34746868363;1975.8565365353;7556.54406567912;2025.95089133663;4199.23976370668;1499.23763947235;1107.58193081146;911.032948315401;0
1;0;0;0;8;488000;3;2;45;539.632756335077;689.665370005959;701.818483577071;4027.77885074875;6613.30559868741;3985.22392176426;2868.77936243955;4680.58928633814;3400.87882902642;9289.0371889751;2402.51722940442;3867.42628286055;4558.62953510283;3713.72951997667;3315.88562946339;1
1;0;0;0;6;780000;3;2;59;203.876821285964;420.627053083807;686.46038347196;4701.19875147377;1837.56744738689;3493.87937349924;3912.72171188454;4096.04944151139;3373.30901658457;5142.93651285644;4341.69295724661;5435.95761976649;2460.4784985859;2660.97649159355;3754.02206889644;1
1;0;0;0;6;750000;3;2;60;221.433021316178;713.321677667101;484.677514263612;3452.69195112677;5271.93986908772;2958.36752882767;1411.6936255176;3873.07803578505;2198.40591673476;8207.54435591327;1466.63004232772;3592.5791026655;3034.59063502233;2208.8566468249;2100.32928793187;1
